,MAE,RMSE,sMAPE,WAPE,R2
Naive,119.92533333333333,153.79577367405128,92.5848406017576,87.44440177525435,-0.9964207498864981
Moving Average 7,93.1972380952381,115.93427196030511,73.51182211826472,67.95542281039349,-0.13445415723186893
EWM 7,93.26524668512094,116.17359365298962,73.45415828995313,68.0050117528845,-0.1391426710098147
XGBoost,88.09943389892578,108.85517991952656,70.80419711523876,64.23832376339237,-0.00014162063598632812
XGBoost + Log,87.36726379394531,119.61235810290465,73.52342288780962,63.70445734558089,-0.20757842063903809
LightGBM,88.12753623695117,108.86741066467519,70.81110976665288,64.25881398009243,-0.000366316374331932
LightGBM + Log,87.38404432297315,119.63327084889823,73.53393560614447,63.71669161248693,-0.20800081226798284
LightGBM (Tuned),88.40011668247111,109.42852800744394,71.00096562741662,64.45756793250274,-0.010704937506347267
